resource_id,title,board,subject,target_grade,difficulty_level,format,duration_minutes,url
res_ef7e79d1,Patterns In Mathematics | Part 1| Class 6 Maths | Chapter 1 | Ganita Prakash | New NCERT 2025-26,CBSE,Mathematics,Class 6,Beginner,video,28,https://www.youtube.com/watch?v=FKdXt_K0YPM&pp=ygUxQ0JTRSBDbGFzcyA2IE1hdGhlbWF0aWNzIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_2ec56841,Class 8 Maths LIVE  Marathon | New NCERT Most Expected Questions | Score 95%+ l Next Toppers,CBSE,Mathematics,Class 6,Advanced,video,19,https://www.youtube.com/watch?v=uaWhlZ4mXXA&pp=ygUxQ0JTRSBDbGFzcyA2IE1hdGhlbWF0aWNzIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_3d56cbac,Fraction In Disguise Class 8 Maths || Ganit Prakash Part - 2,CBSE,Mathematics,Class 6,Beginner,video,18,https://www.youtube.com/watch?v=aB9uHBGVfSc&pp=ygUxQ0JTRSBDbGFzcyA2IE1hdGhlbWF0aWNzIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbtIHCQm-CgGHKiGM7w%3D%3D
res_ebe60ddb,MATHEMATICS,CBSE,Mathematics,Class 6,Beginner,text,11,https://kumarsir34.files.wordpress.com/2017/04/class-vi-maths-question-bank-for-2017-18.pdf
res_8cba714a,CBSE Class 6 Maths Notes Chapter 11 Overview,CBSE,Mathematics,Class 6,Beginner,text,28,https://static.pw.live/5eb393ee95fab7468a79d189/GLOBAL_CMS_BLOGS/19117213-49bf-4c2b-ac1d-23db32d0a939.pdf
res_4d864743,Water Full Chapter Class 6 Science | NCERT Science Class 6 Chapter 14,CBSE,Science,Class 6,Advanced,video,28,https://www.youtube.com/watch?v=r7iDCRCx1wM&pp=ygUtQ0JTRSBDbGFzcyA2IFNjaWVuY2UgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_39463359,Body Movements Full Chapter Class 6 Science | NCERT Science Class 6 Chapter 8,CBSE,Science,Class 6,Medium,video,44,https://www.youtube.com/watch?v=r5yMRp9s9cQ&pp=ygUtQ0JTRSBDbGFzcyA2IFNjaWVuY2UgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u0gcJCb4KAYcqIYzv
res_ded8aa62,Class 6 Science Chapter 1 | Plant Parts & Animal Products as Food,CBSE,Science,Class 6,Medium,video,35,https://www.youtube.com/watch?v=cXInJJMwXUE&pp=ygUtQ0JTRSBDbGFzcyA2IFNjaWVuY2UgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_18c6322e,CBSE Class 6 Science Notes,CBSE,Science,Class 6,Beginner,text,15,https://static.pw.live/5eb393ee95fab7468a79d189/GLOBAL_CMS_BLOGS/8bcb623c-99e0-4ebb-83dc-2323326f72de.pdf
res_a658df49,Science Class - 6,CBSE,Science,Class 6,Beginner,text,16,https://cbseacademic.nic.in/cbe/documents/SAS_Science-Class-6.pdf
res_0f6abe01,A Bottle of Dew - Explanation | Class 6 English (Poorvi) Unit 1 | CBSE 2025-26,CBSE,English,Class 6,Beginner,video,23,https://www.youtube.com/watch?v=z09_C8mtgV8&pp=ygUtQ0JTRSBDbGFzcyA2IEVuZ2xpc2ggZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_869c7488,Change of Heart Part-1 | Class 6 English Animation | Poorvi Unit 4 – Sports and Wellness | CBSE,CBSE,English,Class 6,Medium,video,19,https://www.youtube.com/watch?v=EpqcczI0Zt4&pp=ygUtQ0JTRSBDbGFzcyA2IEVuZ2xpc2ggZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_520dde30,Hamara Bharat- Incredible India/ Class-6 English New NCERT Book Poorvi Unit-5 Chapter-1 Explanation,CBSE,English,Class 6,Medium,video,38,https://www.youtube.com/watch?v=T1odNsxR6ww&pp=ygUtQ0JTRSBDbGFzcyA2IEVuZ2xpc2ggZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_b965a3dc,English Grade 6 - CLASS NOTES-ANSWERS,CBSE,English,Class 6,Beginner,text,13,https://thegardenschool.squarespace.com/s/AK-CN-Grade-6-English-Chapter-3-What-a-bird-thought.pdf
res_2c1da205,NCERT Solutions for Class 6 English A Pact With the Sun,CBSE,English,Class 6,Beginner,text,26,https://static.pw.live/5eb393ee95fab7468a79d189/GLOBAL_CMS_BLOGS/70ff99cf-f66a-4aa5-ac19-04a15a2b2ff8.pdf
res_d8e0e094,Jalate Chalo | Class 6 | Malhar - NCERT | Chapter Explanation | Jalate Chalo | Chapter 7,CBSE,Hindi,Class 6,Advanced,video,23,https://www.youtube.com/watch?v=nojjqhg422w&pp=ygUrQ0JTRSBDbGFzcyA2IEhpbmRpIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_0df5e1ea,मातृभूमि - व्याख्या एवं कवि परिचय | कक्षा 6 हिंदी मल्हार पाठ 1(काव्य खंड) | CBSE 2025-26,CBSE,Hindi,Class 6,Beginner,video,42,https://www.youtube.com/watch?v=5NxpHO74bTU&pp=ygUrQ0JTRSBDbGFzcyA2IEhpbmRpIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_a21aae05,NCERT Class 6 Hindi Malhar chapter 9 मैया मैं नहिं माखन खायो Explanation | EDUMAGNET  #class6hindi,CBSE,Hindi,Class 6,Beginner,video,33,https://www.youtube.com/watch?v=Qpaak5asdk8&pp=ygUrQ0JTRSBDbGFzcyA2IEhpbmRpIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbtIHCQm-CgGHKiGM7w%3D%3D
res_dc468399,Hindi Vyakaran & Rachna.pdf,CBSE,Hindi,Class 6,Medium,text,13,https://rajeduboard.rajasthan.gov.in/books-2019/cls9/Hindi%20Vyakaran%20&%20Rachna.pdf
res_5a1e0338,Secondary School Curriculum 2025-26,CBSE,Hindi,Class 6,Medium,text,24,https://cbseacademic.nic.in/web_material/CurriculumMain26/Sec/Curriculum_Sec_2025-26.pdf
res_bc157b22,Chapter 14 – Economic Activities Around Us | Part 1 | Class 6 Social Science (NCERT/CBSE) #class6,CBSE,Social Science,Class 6,Beginner,video,30,https://www.youtube.com/watch?v=rZuDH-tcHr0&pp=ygU0Q0JTRSBDbGFzcyA2IFNvY2lhbCBTY2llbmNlIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_33c0aac2,CBSE Class 6 Social Science History Notes Chapter 1 PDF,CBSE,Social Science,Class 6,Medium,text,18,https://static.pw.live/5eb393ee95fab7468a79d189/GLOBAL_CMS_BLOGS/2a71def9-2ba3-4ba0-b9fe-6ab90b02faf8.pdf
res_227ddfb8,CBSE Class 6 Geography Notes Chapter 6,CBSE,Social Science,Class 6,Medium,text,20,https://cdn1.byjus.com/wp-content/uploads/2020/01/CBSE-Class-6-Geography-Notes-Chapter-6-Major-Landforms-of-the-Earth.pdf
res_a21c649c,Fun With Magnets | Class 6 : Science | CBSE / NCERT | Full Chapter Explanation | Physics,CBSE,Physics,Class 6,Advanced,video,43,https://www.youtube.com/watch?v=x4oYp4_D4X4&pp=ygUtQ0JTRSBDbGFzcyA2IFBoeXNpY3MgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_de4f7d7f,CBSE Class 6 Science Notes Chapter 10,CBSE,Physics,Class 6,Medium,text,17,https://static.pw.live/5eb393ee95fab7468a79d189/GLOBAL_CMS_BLOGS/510b6a02-6d93-4e93-a558-532bf3ca7a9b.pdf
res_08a1aecb,CLASS – 6 PHYSICS CHAPTER – 4 SIMPLE MACHINES,CBSE,Physics,Class 6,Beginner,text,16,https://www.cjcsbaraut.com/Downloads/679.pdf
res_e53818b1,Introduction To Chemistry Class 6 | Chapter 1 | ICSE Chemistry Class 6,CBSE,Chemistry,Class 6,Beginner,video,32,https://www.youtube.com/watch?v=v-Ym4_OqtFk&pp=ygUvQ0JTRSBDbGFzcyA2IENoZW1pc3RyeSBmdWxsIGNoYXB0ZXIgZXhwbGFuYXRpb24%3D
res_17e06207,CBSE Class 6 Science Notes Chapter 5,CBSE,Chemistry,Class 6,Beginner,text,30,https://static.pw.live/5eb393ee95fab7468a79d189/GLOBAL_CMS_BLOGS/a680ee74-8256-463a-815e-d2c1fa792b26.pdf
res_1e87f4d8,Class6 Chapter3 Matter,CBSE,Chemistry,Class 6,Beginner,text,17,https://www.holycrossschoolagartala.in/notes/50adf1eee79a81437e1d95d445eb382d.pdf
res_7e7852a1,Habitat Of The Living | Class 6 : Science | CBSE / NCERT | Full Chapter Explanation | Biology,CBSE,Biology,Class 6,Advanced,video,41,https://www.youtube.com/watch?v=-xunqrC5_zE&pp=ygUtQ0JTRSBDbGFzcyA2IEJpb2xvZ3kgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_63fbf29e,Getting To Know Plants | Class 6 : SCIENCE | CBSE / NCERT Science | Full Chapter Explained,CBSE,Biology,Class 6,Advanced,video,25,https://www.youtube.com/watch?v=JlnfaOSgk1U&pp=ygUtQ0JTRSBDbGFzcyA2IEJpb2xvZ3kgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_1b420693,GETTING TO KNOW PLANTS full chapter | Biology | Class 6 | CBSE Syllabus,CBSE,Biology,Class 6,Advanced,video,45,https://www.youtube.com/watch?v=0cvbtmeHrl4&pp=ygUtQ0JTRSBDbGFzcyA2IEJpb2xvZ3kgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_2d91dc79,CBSE Class 6 Science Notes Chapter 1,CBSE,Biology,Class 6,Medium,text,10,https://static.pw.live/5eb393ee95fab7468a79d189/GLOBAL_CMS_BLOGS/ab29fab0-868e-450c-832a-8bac576d5ed2.pdf
res_e39a85eb,Supplementary Material Biology (Revised).cdr,CBSE,Biology,Class 6,Medium,text,27,https://cbseacademic.nic.in/web_material/Publication_ebooks/Supplementary%20Material%20for%20senior%20secondary%20Biology/Magazine/Supplementary%20Material%20Biology%20(Revised).pdf
res_d61d4bc2,CBSE Class 6 Social Science History Notes Chapter 1 PDF,CBSE,History,Class 6,Medium,text,15,https://static.pw.live/5eb393ee95fab7468a79d189/GLOBAL_CMS_BLOGS/2a71def9-2ba3-4ba0-b9fe-6ab90b02faf8.pdf
res_d0202e9f,"CBSE Notes Class 6 History Chapter 11 - Building, ...",CBSE,History,Class 6,Beginner,text,18,https://cdn1.byjus.com/wp-content/uploads/2020/01/CBSE-Notes-Class-6-History-Chapter-11-Building-Paintings-and-Books.pdf
res_438465f0,NCERT Class 6 Geography Chapter 1: Earth in the Solar System - Dr. Manishika | English | CBSE,CBSE,Geography,Class 6,Beginner,video,15,https://www.youtube.com/watch?v=YnRtKB1FBfs&pp=ygUvQ0JTRSBDbGFzcyA2IEdlb2dyYXBoeSBmdWxsIGNoYXB0ZXIgZXhwbGFuYXRpb24%3D
res_9128ccb2,The Earth in the Solar System Full Chapter Class 6 Geography | NCERT Geography Class 6 Chapter 1,CBSE,Geography,Class 6,Beginner,video,34,https://www.youtube.com/watch?v=Al9v3jxSW1I&pp=ygUvQ0JTRSBDbGFzcyA2IEdlb2dyYXBoeSBmdWxsIGNoYXB0ZXIgZXhwbGFuYXRpb24%3D
res_cd17ce3f,Our Country-India |political & Physical features | Full chapter | Class 6 | Geography | NCERT | CBSE,CBSE,Geography,Class 6,Medium,video,44,https://www.youtube.com/watch?v=-IWxSe8bWag&pp=ygUvQ0JTRSBDbGFzcyA2IEdlb2dyYXBoeSBmdWxsIGNoYXB0ZXIgZXhwbGFuYXRpb24%3D
res_336d078b,CBSE-Class-6-Geography-Notes-Chapter-8-India-Climate- ...,CBSE,Geography,Class 6,Beginner,text,24,https://cdn1.byjus.com/wp-content/uploads/2020/01/CBSE-Class-6-Geography-Notes-Chapter-8-India-Climate-Vegetation-and-Wildlife.pdf
res_a4dbfa20,Untitled document,CBSE,Geography,Class 6,Beginner,text,12,https://static.pw.live/5eb393ee95fab7468a79d189/GLOBAL_CMS_BLOGS/184d2209-eac9-4994-a596-47148e3f143a.pdf
res_6179aa6a,Understanding Diversity Full Chapter Class 6 Civics | NCERT Class 6 Civics Chapter 1,CBSE,Civics,Class 6,Medium,video,32,https://www.youtube.com/watch?v=Yt6DQxMfd9w&pp=ygUsQ0JTRSBDbGFzcyA2IENpdmljcyBmdWxsIGNoYXB0ZXIgZXhwbGFuYXRpb24%3D
res_366e943d,NCERT Class 6 Political Science / Polity / Civics Chapter 1: Understanding Diversity | English,CBSE,Civics,Class 6,Beginner,video,27,https://www.youtube.com/watch?v=VSW2aCNE5uk&pp=ygUsQ0JTRSBDbGFzcyA2IENpdmljcyBmdWxsIGNoYXB0ZXIgZXhwbGFuYXRpb24%3D
res_a0f3dc68,Panchayati Raj- Full chapter explanation -Class-6-Political Science,CBSE,Civics,Class 6,Medium,video,20,https://www.youtube.com/watch?v=ETACHfGO8gk&pp=ygUsQ0JTRSBDbGFzcyA2IENpdmljcyBmdWxsIGNoYXB0ZXIgZXhwbGFuYXRpb24%3D
res_bfeb2e97,CBSE Class 6 Political Science Notes Chapter 6,CBSE,Civics,Class 6,Beginner,text,23,https://static.pw.live/5eb393ee95fab7468a79d189/GLOBAL_CMS_BLOGS/1baa43a1-7e27-4c77-941b-499d9d0905e3.pdf
res_73cb4a1a,CBSE Class 6 Political Science Notes Chapter 3,CBSE,Civics,Class 6,Beginner,text,12,https://static.pw.live/5eb393ee95fab7468a79d189/GLOBAL_CMS_BLOGS/11d7b332-d031-456b-a1fd-01ab7c2abdde.pdf
res_57d1605b,Chapter 14 – Economic Activities Around Us | Part 1 | Class 6 Social Science (NCERT/CBSE) #class6,CBSE,Economics,Class 6,Beginner,video,24,https://www.youtube.com/watch?v=rZuDH-tcHr0&pp=ygUvQ0JTRSBDbGFzcyA2IEVjb25vbWljcyBmdWxsIGNoYXB0ZXIgZXhwbGFuYXRpb24%3D
res_3bfbaef3,Chapter 14 - Economic Activities Around Us | NCERT Class 6 Social Science | #cbse #class6,CBSE,Economics,Class 6,Advanced,video,31,https://www.youtube.com/watch?v=f-SWOOtwQgo&pp=ygUvQ0JTRSBDbGFzcyA2IEVjb25vbWljcyBmdWxsIGNoYXB0ZXIgZXhwbGFuYXRpb24%3D
res_43d1060d,Economic Activities Around Us | Chapter 14 One Shot | Class 6 Social Science,CBSE,Economics,Class 6,Beginner,video,31,https://www.youtube.com/watch?v=NnckkTZXKvI&pp=ygUvQ0JTRSBDbGFzcyA2IEVjb25vbWljcyBmdWxsIGNoYXB0ZXIgZXhwbGFuYXRpb24%3D
res_c6d5637b,Economic Activities Around Us,CBSE,Economics,Class 6,Medium,text,14,https://ncert.nic.in/textbook/pdf/fees114.pdf
res_f8ee02a9,Exploring Society: India and Beyond,CBSE,Economics,Class 6,Medium,text,12,https://india4ias.com/wp-content/uploads/2024/09/Class-VI-Exploring-Society-India-and-Beyond.pdf
res_c639766f,Esah kah? Esa ka? Etat kim? - Explanation (Part 1) | Class 6 Sanskrit Chapter 2 | CBSE 2025-26,CBSE,Sanskrit,Class 6,Advanced,video,19,https://www.youtube.com/watch?v=tvqP9XnA3qw&pp=ygUuQ0JTRSBDbGFzcyA2IFNhbnNrcml0IGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_301c620f,Aham Cha Tvam Cha (अहं च त्वं च) - Explanation (Part 1) | Class 6 Sanskrit Chapter 3 | CBSE 2025-26,CBSE,Sanskrit,Class 6,Beginner,video,28,https://www.youtube.com/watch?v=WgQXdGMw1XM&pp=ygUuQ0JTRSBDbGFzcyA2IFNhbnNrcml0IGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_929da495,NCERT Class 6 Sanskrit Deepakam Chapter 9 यो जानाति सः पण्डितः Explanation  | EDUMAGNET,CBSE,Sanskrit,Class 6,Beginner,video,18,https://www.youtube.com/watch?v=bUXE1zMDQn8&pp=ygUuQ0JTRSBDbGFzcyA2IFNhbnNrcml0IGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_80671fcc,सन्‍धि,CBSE,Sanskrit,Class 6,Beginner,text,13,https://ncert.nic.in/textbook/pdf/jhva103.pdf
res_b2a2cdd1,दशमः वम अिस Summary Notes Class 6 Sanskrit Chapter 11,CBSE,Sanskrit,Class 6,Medium,text,16,https://www.evidyarthi.in/wp-content/uploads/2021/07/notes-class-6-sanskrit-chapter-11.pdf
res_9e9643cd,Chapter- 1 Graphics & Animation | Animated Video | ICT in Education| Class 6th | SCERT Delhi,CBSE,Computer Science,Class 6,Beginner,video,22,https://www.youtube.com/watch?v=n9sIGl6gBEo&pp=ygU2Q0JTRSBDbGFzcyA2IENvbXB1dGVyIFNjaWVuY2UgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
