interaction_id,student_id,resource_id,intent_goal,current_confidence,completion_rate,feedback_label
int_ccfb4d581a37,stu_ea94c10d,res_0e122df7,Daily Revision,Weak,99,Perfect
int_04cc7f1b5cee,stu_eeed8dcb,res_5c91fe12,Board Prep,Average,42,Too Slow
int_4e0332bdcaa9,stu_dea79622,res_9883b64f,Daily Revision,Strong,45,Too Slow
int_b3e1f36779aa,stu_fad4940f,res_e76153f4,Daily Revision,Average,81,Perfect
int_452ac56e36a0,stu_3051c05a,res_bb6ee0e3,Daily Revision,Average,88,Perfect
int_bb5ee77c4b05,stu_be80188c,res_5e93c078,Daily Revision,Average,87,Perfect
int_38a7884eee03,stu_6e239eb3,res_fda0749a,Board Prep,Strong,62,Perfect
int_e00fbc0d674c,stu_a0c7ddad,res_41eaa7d6,Daily Revision,Weak,98,Perfect
int_7497333a9d32,stu_0be1caa4,res_5e550292,Board Prep,Weak,18,Too Hard
int_5fc1ac377926,stu_62638213,res_41209114,Homework Help,Average,52,Perfect
int_db88adb71ab2,stu_c15e3007,res_6536d23e,Homework Help,Weak,92,Perfect
int_e290417326d3,stu_164c1107,res_f6083ecf,Homework Help,Strong,86,Perfect
int_b8bbfcd06c02,stu_48359b90,res_0d203544,Board Prep,Strong,87,Perfect
int_a6831d97ab20,stu_05b4503d,res_fddbd677,Board Prep,Strong,81,Perfect
int_6fe8fb601cf7,stu_de20851d,res_2e76a990,Daily Revision,Weak,92,Perfect
int_5372ee378787,stu_dc42654a,res_a9a5e084,Board Prep,Weak,95,Perfect
int_5073153137a3,stu_8448e1aa,res_2553d981,Homework Help,Average,82,Perfect
int_70c890db7e79,stu_b67a2d38,res_517f8b98,Homework Help,Average,59,Perfect
int_cd0cef784723,stu_425dd701,res_754620eb,Daily Revision,Weak,59,Too Slow
int_0cda0654f928,stu_adcc00f4,res_bde2d847,Board Prep,Weak,79,Too Slow
int_2244669c682f,stu_3a5e8645,res_2d9e7c45,Homework Help,Weak,90,Perfect
int_d228a5e5c256,stu_59fab9fc,res_0094ac58,Daily Revision,Average,58,Perfect
int_ee1a1257c992,stu_86d154cb,res_1748e63d,Homework Help,Strong,36,Too Slow
int_1d8f3d445953,stu_eeb135f8,res_34dc52cd,Daily Revision,Average,91,Too Hard
int_1ad6de0e2d62,stu_29bc6096,res_a4430671,Homework Help,Weak,87,Perfect
int_e45e0c78230d,stu_66c623ff,res_ee58f51f,Board Prep,Strong,80,Too Slow
int_70e551819836,stu_83590388,res_bded0877,Homework Help,Weak,99,Perfect
int_910d24523ee4,stu_d37e1856,res_74d09f65,Homework Help,Average,75,Perfect
int_9bff0e5be8e1,stu_a9f63a8d,res_c3eb9870,Daily Revision,Strong,66,Too Slow
int_918aed4c6083,stu_c36f654f,res_9cf4a51c,Homework Help,Weak,87,Perfect
int_7947610eff63,stu_5ff6b59e,res_55c13a01,Homework Help,Strong,72,Too Hard
int_d55bd2345ca9,stu_49441f64,res_f871f20e,Board Prep,Strong,41,Too Slow
int_2fe5b1fdcbfe,stu_87a83c79,res_ee58f51f,Homework Help,Weak,96,Perfect
int_59a8ddef0e3a,stu_f114e5be,res_f77ea828,Daily Revision,Average,90,Perfect
int_fb4a5031463f,stu_0b1f5b08,res_e07b5ee1,Board Prep,Weak,22,Too Hard
int_3d421289fcfe,stu_c05ae7a6,res_d831a30e,Board Prep,Weak,88,Perfect
int_1a8a7cf025b2,stu_d177d062,res_b22708e0,Homework Help,Average,98,Perfect
int_560558eca0d2,stu_24d6f542,res_af175ee9,Homework Help,Strong,83,Perfect
int_3cacd1e2bd79,stu_681ee39a,res_d6444eef,Homework Help,Average,53,Perfect
int_507148387afc,stu_ea94c10d,res_f87f3be8,Homework Help,Average,77,Too Slow
int_4a46b98eb904,stu_6f84cd9f,res_5e93c078,Board Prep,Weak,77,Too Hard
int_b76d742c48d9,stu_7c037ef2,res_bfc3d3a6,Board Prep,Strong,56,Perfect
int_b3698e734a14,stu_cb6a644d,res_39658c14,Board Prep,Average,75,Too Slow
int_03d75647d257,stu_eed87473,res_c7891057,Homework Help,Weak,88,Perfect
int_c746975e9e83,stu_1c7de2d3,res_6433a9ea,Board Prep,Weak,15,Too Hard
int_c74fe718a06a,stu_255dbb7f,res_deef9dc7,Daily Revision,Average,72,Too Slow
