resource_id,title,board,subject,target_grade,difficulty_level,format,duration_minutes,url
res_ab8d9fb8,Class-6 Maths (Set-3) Annual Exam 2026 Question Paper Session Ending PM SHRI KV Term2,CBSE,Mathematics,Class 6,Beginner,video,20,https://www.youtube.com/watch?v=aYDhZOXI5wg&pp=ygUxQ0JTRSBDbGFzcyA2IE1hdGhlbWF0aWNzIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbtIHCQm-CgGHKiGM7w%3D%3D
res_4f0eca08,Fraction In Disguise Class 8 Maths || Ganit Prakash Part - 2,CBSE,Mathematics,Class 6,Advanced,video,20,https://www.youtube.com/watch?v=aB9uHBGVfSc&pp=ygUxQ0JTRSBDbGFzcyA2IE1hdGhlbWF0aWNzIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_f1f6a4f7,Class 8 Maths LIVE  Marathon | New NCERT Most Expected Questions | Score 95%+ l Next Toppers,CBSE,Mathematics,Class 6,Medium,video,45,https://www.youtube.com/watch?v=uaWhlZ4mXXA&pp=ygUxQ0JTRSBDbGFzcyA2IE1hdGhlbWF0aWNzIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_efebd348,Water Full Chapter Class 6 Science | NCERT Science Class 6 Chapter 14,CBSE,Science,Class 6,Advanced,video,60,https://www.youtube.com/watch?v=r7iDCRCx1wM&pp=ygUtQ0JTRSBDbGFzcyA2IFNjaWVuY2UgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_7bc58c96,Body Movements Full Chapter Class 6 Science | NCERT Science Class 6 Chapter 8,CBSE,Science,Class 6,Medium,video,60,https://www.youtube.com/watch?v=r5yMRp9s9cQ&pp=ygUtQ0JTRSBDbGFzcyA2IFNjaWVuY2UgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_b2170d64,Class 6 Science Chapter 1 | Plant Parts & Animal Products as Food,CBSE,Science,Class 6,Beginner,video,30,https://www.youtube.com/watch?v=cXInJJMwXUE&pp=ygUtQ0JTRSBDbGFzcyA2IFNjaWVuY2UgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_e83a12aa,Class-7 Maths (Set-3) Annual Exam 2026 Question Paper Session Ending PM SHRI KV Term2,CBSE,Mathematics,Class 7,Advanced,video,60,https://www.youtube.com/watch?v=kY1gZ_Eyqj8&pp=ygUxQ0JTRSBDbGFzcyA3IE1hdGhlbWF0aWNzIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_273e0435,Class 7 Maths LIVE  Marathon l Most Expected Questions | New NCERT | LIVE Marathon | Next Toppers,CBSE,Mathematics,Class 7,Medium,video,30,https://www.youtube.com/watch?v=hI1o-w-9n4A&pp=ygUxQ0JTRSBDbGFzcyA3IE1hdGhlbWF0aWNzIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_7e04a65b,Fraction In Disguise Class 8 Maths || Ganit Prakash Part - 2,CBSE,Mathematics,Class 7,Advanced,video,45,https://www.youtube.com/watch?v=aB9uHBGVfSc&pp=ygUxQ0JTRSBDbGFzcyA3IE1hdGhlbWF0aWNzIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbtIHCQm-CgGHKiGM7w%3D%3D
res_57d6bb6d,Reproduction in Plants Full Chapter Class 7 Science | NCERT Science Class 7 Chapter 12,CBSE,Science,Class 7,Advanced,video,30,https://www.youtube.com/watch?v=tMjhLvZNJ3Q&pp=ygUtQ0JTRSBDbGFzcyA3IFNjaWVuY2UgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_1946a4a8,Nutrition in Plants Full Chapter Class 7 Science | NCERT Science Class 7 Chapter 1,CBSE,Science,Class 7,Beginner,video,30,https://www.youtube.com/watch?v=oP2sbq9G5PI&pp=ygUtQ0JTRSBDbGFzcyA3IFNjaWVuY2UgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_a0bacf73,Light Full Chapter Class 7 Science | NCERT Science Class 7 Chapter 15,CBSE,Science,Class 7,Medium,video,30,https://www.youtube.com/watch?v=j6OO1UR0kPg&pp=ygUtQ0JTRSBDbGFzcyA3IFNjaWVuY2UgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_98409e64,Class 8th || Complete MATHS in 1 VIDEO 🔥,CBSE,Mathematics,Class 8,Advanced,video,20,https://www.youtube.com/watch?v=hPC0Q6VzlUo&pp=ygUxQ0JTRSBDbGFzcyA4IE1hdGhlbWF0aWNzIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_187778d2,Rational Number Class 8 One Shot || Maths || Priyanshu Sir,CBSE,Mathematics,Class 8,Beginner,video,30,https://www.youtube.com/watch?v=KkUPmbL0F-Q&pp=ygUxQ0JTRSBDbGFzcyA4IE1hdGhlbWF0aWNzIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_f8084cc9,Factorisation Maths Class 8 || Complete Chapter In 15 Minutes 🎯,CBSE,Mathematics,Class 8,Advanced,video,45,https://www.youtube.com/watch?v=uK1i6IzOhAA&pp=ygUxQ0JTRSBDbGFzcyA4IE1hdGhlbWF0aWNzIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_6ca05309,Light Full Chapter Class 8 Science | NCERT Science Class 8 Chapter 16,CBSE,Science,Class 8,Medium,video,60,https://www.youtube.com/watch?v=Ka3a_0LwDo0&pp=ygUtQ0JTRSBDbGFzcyA4IFNjaWVuY2UgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_29f58858,Chapter 1 Class 8 Science | Crop Production and Management - Introduction | Class 8 Science,CBSE,Science,Class 8,Medium,video,30,https://www.youtube.com/watch?v=J_cYceNpptY&pp=ygUtQ0JTRSBDbGFzcyA4IFNjaWVuY2UgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_06f9953d,Reproduction in Animals Full Chapter Class 8 Science | NCERT Science Class 8 Chapter 9,CBSE,Science,Class 8,Medium,video,60,https://www.youtube.com/watch?v=wfpXdKW117s&pp=ygUtQ0JTRSBDbGFzcyA4IFNjaWVuY2UgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_775ce956,Complete Class 9th MATHS in 1 Shot | Final Marathon 🎯,CBSE,Mathematics,Class 9,Beginner,video,20,https://www.youtube.com/watch?v=35IP0ggmkjM&pp=ygUxQ0JTRSBDbGFzcyA5IE1hdGhlbWF0aWNzIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbtIHCQm-CgGHKiGM7w%3D%3D
res_a26ffff4,Class 9th Maths Most Important Questions By Ritik Sir | One Shot | Race Series 2026,CBSE,Mathematics,Class 9,Medium,video,20,https://www.youtube.com/watch?v=GR_5rAq23Oc&pp=ygUxQ0JTRSBDbGFzcyA5IE1hdGhlbWF0aWNzIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbtIHCQm-CgGHKiGM7w%3D%3D
res_1459ab41,Class 9th- Complete Maths Marathon🔥 | Number System | Polynomials | Linear Eq in 2 Variable | Stats,CBSE,Mathematics,Class 9,Advanced,video,20,https://www.youtube.com/watch?v=kMS7rHamtlc&pp=ygUxQ0JTRSBDbGFzcyA5IE1hdGhlbWF0aWNzIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbtIHCQm-CgGHKiGM7w%3D%3D
res_aac8f5d1,NCERT Science Class 9 Chapter 9 | Rahul Saigaonker l StudyIQ IAS English,CBSE,Science,Class 9,Beginner,video,20,https://www.youtube.com/watch?v=qc1YH3ZXe2g&pp=ygUtQ0JTRSBDbGFzcyA5IFNjaWVuY2UgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_19f52498,NCERT Science Class 9 Chapter 1| Rahul Saigaonker l StudyIQ IAS English,CBSE,Science,Class 9,Advanced,video,20,https://www.youtube.com/watch?v=F4ZkAM8junE&pp=ygUtQ0JTRSBDbGFzcyA5IFNjaWVuY2UgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_42defb97,CBSE Class 9 Science -1 || Matter in Our Surroundings || Full Chapter || by Shiksha House,CBSE,Science,Class 9,Beginner,video,20,https://www.youtube.com/watch?v=-9aGVrvPqzE&pp=ygUtQ0JTRSBDbGFzcyA5IFNjaWVuY2UgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_c7dca472,Class 10 ICSE Maths Complete Syllabus Revision | ICSE Class 10 Maths Board Exam 2026,CBSE,Mathematics,Class 10,Advanced,video,20,https://www.youtube.com/watch?v=OPvPi2lqPt8&pp=ygUyQ0JTRSBDbGFzcyAxMCBNYXRoZW1hdGljcyBmdWxsIGNoYXB0ZXIgZXhwbGFuYXRpb24%3D
res_9cf71215,Class 10th Real Numbers One Shot 🔥 | Class 10 Maths Chapter 1 | Shobhit Nirwan,CBSE,Mathematics,Class 10,Beginner,video,45,https://www.youtube.com/watch?v=-UdHmSTmQtw&pp=ygUyQ0JTRSBDbGFzcyAxMCBNYXRoZW1hdGljcyBmdWxsIGNoYXB0ZXIgZXhwbGFuYXRpb24%3D
res_af9da40f,carbon and its compounds Full Chapter in Animation | Class 10th chapter 5 |CBSE Syllabus |  NCERT,CBSE,Science,Class 10,Advanced,video,30,https://www.youtube.com/watch?v=FDW4q366dH8&pp=ygUuQ0JTRSBDbGFzcyAxMCBTY2llbmNlIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_fd7c37b3,CLASS 10 HEREDITY & EVOLUTION Full chapter explanation (Animation) | NCERT Class 10 Chapter 8,CBSE,Science,Class 10,Advanced,video,45,https://www.youtube.com/watch?v=as157ZmxHzM&pp=ygUuQ0JTRSBDbGFzcyAxMCBTY2llbmNlIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_d13fb728,Life processes Full chapter | class 10 Animated video | 10th BIOLOGY | ncert #science | Chapter 7,CBSE,Science,Class 10,Advanced,video,20,https://www.youtube.com/watch?v=JzihOwFW3gI&pp=ygUuQ0JTRSBDbGFzcyAxMCBTY2llbmNlIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
res_b1bd20a4,Class 6th || Complete Maths In One Video || Toppers Toli By Divyansh Sir,ICSE,Mathematics,Class 6,Medium,video,30,https://www.youtube.com/watch?v=m68PRjMWuDQ&pp=ygUxSUNTRSBDbGFzcyA2IE1hdGhlbWF0aWNzIGZ1bGwgY2hhcHRlciBleHBsYW5hdGlvbg%3D%3D
